Artist,Song,Date Released,Avg,# Ratings,Wants
Curren$y,Pilot Talk 4,24 December 2021,3.14,39,14
"John Dwyer, Ryan Sawyer, Greg Coates, Wilder Zoby & Andres Renteria",Gong Splat,17 December 2021,3.29,41,8
Kitten,Personal Hotspots,10 December 2021,3.19,43,9
Hands of Despair,The Crimson Boughs and Other Short Tales,3 December 2021,3.65,21,4
Current 93,The Long Shadow Falls,December 2021,-,inf,16
Traumprinz,To All Lovers,1 December 2021,3.68,20,12
Ghouljaboy,Dreamcore,26 November 2021,3.50,42,14
SHERELLE,fabric Presents,26 November 2021,3.64,26,12
Tangerine Dream,Probe 6-8,26 November 2021,3.31,28,5
Bones & Lyson,Scraps,26 November 2021,2.55,94,9
Elysia Crampton Chuquimia,Live in Munich,20 November 2021,3.78,26,11
Traitrs,Horses in the Abattoir,19 November 2021,3.33,41,8
Carly Rae Jepsen,Carly's Christmas Classics,19 November 2021,2.55,50,13
Deadbeat & Om Unit,"Root, Stalk, Leaf and Bloom",19 November 2021,3.30,18,11
Mentor,"Wolves, Wraiths and Witches",17 November 2021,3.51,33,8
Strawberry Hospital,Data.viscera,2 January 2022,-,inf,15
Greg Puciato,Mirrorcell,2022,5.00,1,15
Cities Aviv,Man Plays The Horn,2022,-,inf,15
Rope Sect,Proskynesis,10 December 2021,3.40,35,9
Elza Soares & João de Aquino,Elza Soares & João de Aquino,10 December 2021,3.62,19,11
Boris,Japanese Heavy Rock Hits Live -25th Anniversary Show-,3 December 2021,3.89,26,12
Dillom,Post mortem,1 December 2021,3.32,105,9
Traumprinz,To All Dreamers,1 December 2021,3.65,23,10
Alfonso Gómez,Late Works for Piano,December 2021,3.77,3,14
Opera Diabolicus,Death on a Pale Horse,26 November 2021,3.14,29,4
Ross Jennings,A Shadow of My Future Self,19 November 2021,3.66,45,6
Cantique lépreux,Sectes,19 November 2021,3.22,50,11
Mayday Parade,What It Means to Fall Apart,19 November 2021,3.27,53,8
Snoop Dogg,Snoop Dogg Presents Algorithm,19 November 2021,2.28,91,11
Blackhaine,And Salford Falls Apart,19 November 2021,3.49,60,9
Seatbelts,Cowboy Bebop,19 November 2021,3.15,25,11
Dev/Null,Microjunglizm,19 November 2021,3.56,28,13
Wos,Oscuro éxtasis,18 November 2021,3.30,82,5
Dirty Bird,Virginia Creeper,14 November 2021,3.57,60,12
Machine+,Variations On...,2022,-,inf,14
Gábor Lázár,Boundary Object,2022,-,inf,14
Kavinsky,Reborn,2022,-,inf,14
Arkhtinn,二度目の災害,11 December 2021,3.79,31,7
Teen Daze,Interior,10 December 2021,2.90,23,6
J,my seat and weep,10 December 2021,3.74,29,9
Worst Party Ever,Dartland,10 December 2021,3.21,48,7
Lordi,Lordiversity - Abracadaver,10 December 2021,3.31,31,1
Nicole Atkins,Memphis Ice,10 December 2021,3.21,19,7
Pink Floyd,"The Screaming Abdabs: Live, Quebec City, 10 Nov 1971",10 December 2021,3.04,13,5
Bad Gyal,Sound System: The Final Releases,9 December 2021,3.54,62,10
Yung Beef,Gángster original,3 December 2021,3.28,63,9
Static Dress,Prologue...,3 December 2021,3.55,57,6
Sully & Tim ReaperSullyTim Reaper,CRFR001,SullyTim Reaper,3.75,14,10
J.U.S,Gofundme Corvette,3 December 2021,3.40,25,9
Traumprinz,To All Dancers,1 December 2021,3.69,14,10
Paul Gilbert,'Twas,26 November 2021,2.64,18,5
Èlg,Dans le salon du nous,26 November 2021,3.29,22,8
Saint Etienne,Her Winter Coat,26 November 2021,3.27,47,5
Old Nick,Crisp Winter Dawn of My Night Moon,20 November 2021,3.70,42,10
Abscession,Rot of Ages,19 November 2021,3.18,41,6
Arovane,Reihen,19 November 2021,3.01,27,10
Dion,Stomping Ground,19 November 2021,2.71,17,3
Marracash,"NOI, LORO, GLI ALTRI",19 November 2021,2.60,116,2
Thy Worshiper,Bajki o staruchu,17 November 2021,3.29,33,6
Sinéad O'Connor,No Veteran Dies Alone,January 2022,-,inf,13
Will Wood,In Case I Make It,2022,-,inf,13
Midnight Oil,Resist,2022,-,inf,13
Big K.R.I.T.,DRDD,2022,-,inf,13
DJ Five a.k.a Yung Rimanah,Cold Inferno: Lost Sounds From 2016 (Hosted by DJ Toothpaste),18 December 2021,3.95,9,11
/f,Youa Re a Content Creator Your Are a Star I Love You Very Much We Make Good Busienss Very Nice I Make You a Good Deal My Friend Lets Talk About the Consent of Reality (Dearest Diary) [...],12 December 2021,3.50,9,8
Beverly Glenn-Copeland,Keyboard Fantasies Reimagined,10 December 2021,3.61,21,9
Horace Tapscott,Tapscott + Winds,10 December 2021,-,inf,13
